51300024023,fgb,273,90
51300026368,agg,27,48
51300070765,aca,299,56
51300113128,dgg,160,62
51300133052,ffa,286,216
51300161051,bfd,168,198
51300167112,edb,147,204
51300170288,bdc,243,243
51300195231,ddb,249,135
51300290776,ebg,231,189
51300322919,bgf,165,205
51300331249,cgb,135,244
51300342380,dbf,270,42
51300390532,eed,8,204
51300390937,adc,206,70
51300396005,cfb,185,20
51300458204,dbb,75,148
51300486717,gdc,78,80
51300489843,bbc,235,87
51300492214,dca,198,295
51300524329,acd,188,208
51300547952,ggc,242,270
51300582526,fde,16,34
51300625842,cag,54,155
51300635574,bfc,112,66
51300636801,cge,49,217
51300640113,ceg,249,116
51300667919,bce,72,32
51300683883,cbc,113,206
51300719608,bcd,36,253
51300780019,bcf,133,118
51300780999,gag,58,260
51300790685,cfg,200,275
51300793152,dcb,20,271
51300895780,fac,195,260
51300896285,fec,68,197
51300902755,eag,34,148
51300913718,gba,265,18
51300924506,abc,215,266
51300984461,aga,194,14
51301007131,gae,77,101
51301060736,edg,269,98
51301064720,cgf,63,67
51301066757,ebf,150,152
51301106920,ebf,259,142
51301128049,fae,20,134
51301151057,abb,219,232
51301217651,dgd,123,285
51301222115,dac,18,39
51301284236,dbc,221,16
51301322455,adc,41,63
51301333909,bec,26,215
51301376152,fgb,104,104
51301392128,dff,213,30
51301437790,cge,73,240
51301461527,cff,296,285
51301462527,bgg,152,25
51301487399,abf,210,225
51301531733,ccc,201,237
51301588939,cgg,284,146
51301598036,bag,7,13
51301609222,dcf,128,258
51301612839,dae,192,198
51301617825,gdc,51,73
51301626600,cfb,283,22
51301629140,ceg,69,102
51301640231,fdg,129,69
51301642757,dag,287,291
51301662153,gbe,62,64
51301778733,bbc,116,77
51301823438,fgd,121,281
51301835592,ddg,266,183
51301862684,eae,228,217
51301885066,bcg,258,208
51301896410,dee,77,219
51301910574,dfe,275,237
51301969685,afg,108,175
51302035881,cdb,256,79
51302066930,fad,207,104
51302072023,ggc,222,221
51302112003,cdb,108,75
51302125056,ccb,275,226
51302150692,gcf,59,117
51302240587,fag,232,38
51302252682,feg,291,245
51302291472,ffd,116,247
51302324861,deg,70,62
51302369068,eag,139,170
51302432554,caf,296,8
51302471856,cdb,25,67
51302475917,dbg,81,88
51302510182,gbd,223,242
51302527626,ceb,232,82
51302532705,fdb,250,73
51302640975,cef,149,7
51302648007,fcc,277,150
51302658306,aae,58,157
51302684910,efe,244,218
51302717483,bbe,112,117
51302738418,bad,241,81
51302739360,aab,89,261
51302740274,cde,246,189
51302749146,egd,127,39
51302762990,eea,248,198
51302784262,ggd,195,207
51302809897,fce,158,32
51302823438,ebd,148,226
51302824726,fgd,205,241
51302839186,cbf,74,101
51302854363,agc,74,225
51302868617,bgg,247,29
51302885441,acf,30,51
51302896983,abe,47,260
51302910529,bfc,250,77
51302935325,ggf,263,78
51302962083,bbc,266,64
51302978096,aea,180,219
51302984443,fff,189,143
51302987061,cab,140,128
51302995430,gbf,11,193
51303006378,edd,258,23
51303007123,fcf,274,262
51303013630,ffd,43,269
51303074680,aab,205,253
51303079925,fcc,275,154
51303113733,aeb,135,185
51303125600,gfg,52,20
51303144100,afc,260,232
51303152888,beb,86,65
51303181853,bdc,65,245
51303204296,dda,20,219
51303249116,eec,174,125
51303252339,ffg,261,110
51303256234,efe,62,248
51303264067,ada,69,29
51303272737,cce,60,75
51303282262,cga,203,58
51303287356,cbb,188,222
51303288317,dfa,24,190
51303289084,ddc,263,276
51303295102,bfe,16,126
51303354987,ggd,224,192
51303361881,cdb,214,55
51303367355,fdg,121,59
51303377261,eac,291,139
51303388948,cdb,269,48
51303398542,aab,173,227
51303398691,ega,115,82
51303404456,ddd,207,275
51303407182,cbc,31,214
51303415155,ede,105,20
51303415551,edf,21,28
51303426865,fdb,146,76
51303456086,agb,87,79
51303507820,agf,215,207
51303520323,ecg,50,182
51303522794,agc,97,261
51303524064,fdf,206,43
51303546382,fda,55,189
51303550596,ggb,72,65
51303551332,eea,99,205
51303636081,abg,209,35
51303647105,gab,62,79
51303667942,gae,274,116
51303678774,dae,277,174
51303681072,edf,168,22
51303698883,bdc,22,264
51303700150,aaf,101,132
51303700575,abe,77,213
51303716746,fea,265,276
51303723245,bdb,77,94
51303736555,ega,202,86
51303746899,agg,180,56
51303777566,eaa,156,191
51303780341,cfc,256,106
51303789984,bea,106,174
51303929685,aaa,241,78
51303936876,efd,86,77
51303986020,bgg,226,30
51303996138,dgb,290,152
51304038069,edd,154,23
51304055437,cgc,33,118
51304135356,bde,53,286
